# 经度    纬度   对齐方式  城市名
117.2    39.13    ML    天津
121.48   31.22    ML    上海
106.54   29.59    ML    重庆
91.11    29.97    ML    拉萨
87.68    43.77    ML    乌鲁木齐
106.27   38.47    ML    银川
108.33   22.84    ML    南宁
126.63   45.75    ML    哈尔滨
125.35   43.88    ML    长春
123.38   41.8     ML    沈阳
114.48   38.03    ML    石家庄
117      36.65    ML    济南
113.65   34.76    ML    郑州
118.78   32.04    ML    南京
120.19   30.26    ML    杭州
115.89   28.68    ML    南昌
113      28.21    ML    长沙
114.31   30.52    ML    武汉
113.23   23.16    ML    广州
110.35   20.02    ML    海口
103.73   36.03    ML    兰州
108.95   34.27    ML    西安
104.06   30.67    ML    成都
106.71   26.57    ML    贵阳
102.73   25.04    ML    昆明
114.1    22.2     ML    香港
112.53   37.87    TC    太原
121.5    25.05    TC    台北
101.74   36.56    MR    西宁
119.3    26.08    MR    福州
113.33   22.13    MR    澳门
117.27   31.86    CB    合肥
116.46   39.92    CB    北京
111.65   40.82    CB    呼和浩特
